"FLG_RELATO_TORTURA","SIG_UF_ORIGEM_AUDIENCIA","ANO","MES","NUM_AUDIENCIAS"
S,,2010,5,2
N,CE,2021,3,1
N,,2007,11,5
S,,2021,8,753
S,,1987,12,1
N,,2001,10,3
N,,1978,5,1
N,,2005,3,3
N,MG,2021,10,14
S,,2022,1,924
N,,2022,2,9746
S,,2012,10,1
N,,1991,2,1
N,,1112,12,1
N,,2004,10,3
S,MG,2021,10,3
N,,1990,2,2
N,,1989,1,2
N,SE,2022,2,11
N,,2022,9,4712
S,SP,2022,5,4
N,,1973,5,1
N,CE,2022,9,737
N,RN,2022,10,87
N,RO,2022,10,114
S,,2022,10,206
N,TO,2022,9,68
N,MG,2022,5,41
N,RO,2022,9,126
S,SC,2022,10,40
S,RS,2022,9,132
N,MS,2022,10,264
S,MA,2022,10,64
N,RJ,2022,8,33
N,MS,2012,11,1
N,SE,2022,6,10
N,PR,2022,7,26
N,PR,2022,6,27
N,MG,2005,11,1
N,SP,2021,6,16
S,PE,2022,3,4
N,SC,2014,2,1
N,AL,2003,6,2
S,AL,2022,10,23
N,SE,2012,1,1
N,AL,2022,6,2
N,SC,2011,12,1
S,CE,2022,6,1
N,AC,2020,10,1
N,SE,2010,10,1
N,SP,2021,4,9
N,MG,2021,1,4
N,AC,2020,4,1
N,SP,2020,8,12
N,PA,2021,12,3
S,SP,2021,7,1
N,SE,2022,1,13
N,SC,2015,3,1
N,AC,2012,7,1
N,MA,2022,4,8
N,MS,2014,3,1
N,AP,2014,2,1
N,SE,2020,12,2
N,SE,2016,2,1
N,RS,1988,11,1
N,RS,2020,7,1
N,SP,2006,1,1
N,MG,2010,7,2
N,PI,2021,1,1
N,PI,2021,5,1
N,,1986,8,1
N,PB,2022,7,4
N,GO,2022,3,8
N,MT,2004,3,1
N,AL,2014,9,1
N,PB,2021,8,1
S,RS,2022,12,131
N,AC,2022,12,79
N,RS,2022,11,907
N,GO,2022,11,421
N,AP,2022,11,72
S,CE,2022,12,54
N,AL,2022,11,164
N,RO,2022,12,102
N,RN,2022,12,145
S,PA,2022,12,83
N,SC,2012,10,1
N,MG,1981,4,1
N,PA,2004,6,1
N,GO,2022,4,7
N,MG,2020,4,2
N,SP,1971,12,1
N,AM,2021,10,1
S,ES,2022,11,2
N,DF,2022,3,4
S,MA,2022,12,29
S,TO,2022,12,11
N,MG,2010,5,1
N,SC,2010,1,2
S,PE,2022,8,2
N,SE,2021,2,2
S,ES,2022,12,3
S,PA,2015,2,1
N,RO,2021,9,1
N,PR,2021,6,1
S,MG,2021,11,1
N,SP,2000,7,1
N,,1977,4,1
N,MG,2011,5,1
N,MG,2003,11,1
N,PR,2000,11,1
N,PI,2021,10,1
N,SC,2023,2,798
N,PR,2023,1,502
N,AM,2023,1,128
S,SC,2023,2,76
N,ES,2023,1,82
S,RS,2023,1,189
N,TO,2023,2,84
S,PE,2023,1,33
S,BA,2023,1,28
S,PR,2023,1,61
N,MG,2020,7,3
S,BA,2023,2,75
N,TO,2021,10,2
N,SC,2012,5,1
N,DF,2023,2,15
N,MG,2015,7,3
N,CE,2004,12,1
S,AM,2023,2,14
S,SE,2022,7,1
S,MG,2021,1,1
N,RS,1997,11,1
N,SP,1975,3,1
N,SC,2021,3,2
S,SE,2022,1,1
N,DF,2021,12,1
N,AL,2020,5,1
N,AL,2012,4,1
N,SC,2013,1,1
N,AM,2016,8,1
N,MG,2015,6,1
N,,2023,3,1746
N,CE,2023,3,284
N,MS,2023,3,169
N,PR,2023,3,125
N,SP,1982,4,1
S,AL,2001,3,1
N,RS,1985,6,1
N,ES,1977,11,1
N,AC,2020,11,1
N,SP,1981,3,1
N,SC,2020,7,1
S,ES,2023,3,1
N,SP,1999,9,1
N,,2004,3,1
N,SP,1978,6,1
N,PR,2015,12,297
N,PA,2016,4,144
N,PR,1970,6,1
S,PA,2016,2,1
N,GO,2017,4,456
N,MA,2015,9,71
S,AC,2016,3,8
N,SP,2016,5,555
N,PR,1981,1,1
S,AP,2016,3,10
N,MA,2015,10,63
N,RO,2010,5,4
N,MA,1993,6,1
N,MA,2015,5,65
N,MA,1981,1,1
N,RO,2017,5,209
N,BA,2017,7,230
N,PE,,,12345
N,PB,2016,5,137
N,PR,2016,5,1072
N,PA,2016,5,578
S,PR,2016,5,63
N,PB,2016,4,24
N,DF,1998,5,1
N,PA,2017,8,583
S,SP,,,626
N,,1972,5,2
N,SC,2015,5,3
N,PA,2013,2,2
N,BA,2015,12,1
S,GO,2016,5,3
N,PA,2017,3,621
N,,2017,2,2721
S,SE,2016,5,2
N,AC,2016,7,195
N,MA,2016,6,135
N,PB,2016,6,165
S,PA,2016,6,117
S,RS,2016,6,8
N,PE,2016,6,118
S,RO,2016,6,13
N,GO,2016,6,163
N,RO,2015,2,3
N,SE,2016,7,128
S,MG,2016,6,1
N,DF,1978,8,1
N,RS,2015,10,7
N,,2003,1,9
N,DF,1938,12,1
S,BA,2016,7,37
S,PI,2016,7,20
S,AM,2016,6,11
N,RO,2011,1,2
S,GO,2016,7,64
S,SP,2016,7,8
N,PR,2018,2,1185
N,,2014,5,22
N,PR,2000,7,1
N,GO,2016,8,475
N,AC,2016,8,141
S,GO,2016,8,76
N,SE,2016,8,116
S,PE,2016,8,4
N,PA,1997,6,1
N,GO,1981,10,1
N,PR,2005,11,1
N,MG,2016,8,11
N,,2013,9,30
N,SP,2016,9,992
N,RO,2016,9,323
N,DF,2016,9,273
S,PA,2016,9,77
N,SE,2016,9,126
N,AL,2015,9,1
N,,2012,4,22
N,SC,1993,11,1
N,PB,2015,6,2
N,PR,2016,10,1137
N,PB,2015,7,2
N,,1996,4,7
S,MT,2016,9,2
N,RO,2019,6,145
N,RO,2013,7,4
N,PB,2014,2,1
N,RS,2014,7,6
N,SP,2018,8,4945
N,MG,2016,10,14
N,RO,2016,11,305
N,DF,2016,11,256
S,,2016,11,117
N,PE,2016,11,83
N,SP,1993,4,1
N,MA,2007,7,1
S,MT,2016,10,3
N,PR,2003,3,2
N,PB,2011,10,1
N,,2003,3,6
N,RO,2009,11,4
N,BA,2016,2,2
N,RO,2013,8,2
N,RS,2014,3,4
N,AP,2013,11,1
N,,2019,11,4202
S,MT,,,173
